Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.053875
n:  133, t: 0.033250, x[n]:  (0.000007,-1.000000), y[n]:  (0.000640,-0.999367), y(t): (-0.002977,-0.999991), diff: (-0.003617,-0.000624)
n:  134, t: 0.033500, x[n]: (-1.000000,-0.000021), y[n]: (-0.999367,-0.000653), y(t):  (-0.999991,0.002963), diff:  (-0.000624,0.003617)
n:  135, t: 0.033750, x[n]:  (-0.000034,1.000000), y[n]:  (-0.000666,0.999367), y(t):   (0.002950,0.999991), diff:   (0.003617,0.000624)
n:  136, t: 0.034000, x[n]:   (1.000000,0.000047), y[n]:   (0.999367,0.000680), y(t):  (0.999991,-0.002937), diff:  (0.000624,-0.003617)
n:  137, t: 0.034250, x[n]:  (0.000061,-1.000000), y[n]:  (0.000693,-0.999367), y(t): (-0.002923,-0.999991), diff: (-0.003617,-0.000625)
n:  138, t: 0.034500, x[n]: (-1.000000,-0.000074), y[n]: (-0.999367,-0.000707), y(t):  (-0.999991,0.002910), diff:  (-0.000625,0.003617)
n:  139, t: 0.034750, x[n]:  (-0.000087,1.000000), y[n]:  (-0.000720,0.999367), y(t):   (0.002897,0.999991), diff:   (0.003617,0.000625)
n:  140, t: 0.035000, x[n]:   (1.000000,0.000040), y[n]:   (0.999367,0.000672), y(t):  (0.999991,-0.002944), diff:  (0.000625,-0.003617)
n:  141, t: 0.035250, x[n]:  (0.000053,-1.000000), y[n]:  (0.000686,-0.999367), y(t): (-0.002931,-0.999991), diff: (-0.003617,-0.000625)
n:  142, t: 0.035500, x[n]: (-1.000000,-0.000067), y[n]: (-0.999367,-0.000699), y(t):  (-0.999991,0.002918), diff:  (-0.000625,0.003617)
n:  143, t: 0.035750, x[n]:  (-0.000080,1.000000), y[n]:  (-0.000712,0.999367), y(t):   (0.002904,0.999991), diff:   (0.003617,0.000625)
